university,origin_year,horizon,model,mae,rmse,n_points,step
Aarhus University,2016,3,naive,2.5999999999999943,2.5999999999999943,1,1
Aarhus University,2016,3,linear,4.933333333333437,4.933333333333437,1,1
Aarhus University,2016,3,prophet,2.419115871585575,2.419115871585575,1,1
Aarhus University,2016,3,naive,1.6999999999999957,1.6999999999999957,1,2
Aarhus University,2016,3,linear,3.0904761904761457,3.0904761904761457,1,2
Aarhus University,2016,3,prophet,6.65253444499691,6.65253444499691,1,2
Aarhus University,2016,3,naive,1.2999999999999972,1.2999999999999972,1,3
Aarhus University,2016,3,linear,1.7476190476190823,1.7476190476190823,1,3
Aarhus University,2017,3,naive,0.8999999999999986,0.8999999999999986,1,1
Aarhus University,2017,3,linear,0.271428571428622,0.271428571428622,1,1
Aarhus University,2017,3,prophet,11.915819921865882,11.915819921865882,1,1
Aarhus University,2017,3,naive,1.2999999999999972,1.2999999999999972,1,2
Aarhus University,2017,3,linear,1.6000000000003638,1.6000000000003638,1,2
Aarhus University,2017,3,prophet,17.433772697390523,17.433772697390523,1,2
Aarhus University,2017,3,naive,0.0,0.0,1,3
Aarhus University,2017,3,linear,1.771428571428899,1.771428571428899,1,3
Aarhus University,2018,3,naive,0.3999999999999986,0.3999999999999986,1,1
Aarhus University,2018,3,linear,1.7357142857140389,1.7357142857140389,1,1
Aarhus University,2018,3,prophet,2.925346683605781,2.925346683605781,1,1
Aarhus University,2018,3,naive,0.8999999999999986,0.8999999999999986,1,2
Aarhus University,2018,3,linear,1.9297619047617474,1.9297619047617474,1,2
Aarhus University,2018,3,prophet,2.573352051177153,2.573352051177153,1,2
Aarhus University,2018,3,naive,2.0,2.0,1,3
Aarhus University,2018,3,linear,2.3238095238094516,2.3238095238094516,1,3
Aarhus University,2019,3,naive,1.2999999999999972,1.2999999999999972,1,1
Aarhus University,2019,3,linear,1.1583333333334878,1.1583333333334878,1,1
Aarhus University,2019,3,prophet,2.681469836919902,2.681469836919902,1,1
Aarhus University,2019,3,naive,2.3999999999999986,2.3999999999999986,1,2
Aarhus University,2019,3,linear,1.4366666666665893,1.4366666666665893,1,2
Aarhus University,2019,3,prophet,4.430857799394232,4.430857799394232,1,2
Aarhus University,2019,3,naive,2.700000000000003,2.700000000000003,1,3
Aarhus University,2019,3,linear,2.5150000000001427,2.5150000000001427,1,3
Aarhus University,2020,3,naive,1.1000000000000014,1.1000000000000014,1,1
Aarhus University,2020,3,linear,0.9733333333329952,0.9733333333329952,1,1
Aarhus University,2020,3,prophet,0.539891841286888,0.539891841286888,1,1
Aarhus University,2020,3,naive,1.4000000000000057,1.4000000000000057,1,2
Aarhus University,2020,3,linear,1.9884848484846742,1.9884848484846742,1,2
Aarhus University,2020,3,prophet,0.4119694424277398,0.4119694424277398,1,2
Aarhus University,2020,3,naive,0.9000000000000057,0.9000000000000057,1,3
Aarhus University,2020,3,linear,3.8036363636359027,3.8036363636359027,1,3
Aarhus University,2021,3,naive,0.30000000000000426,0.30000000000000426,1,1
Aarhus University,2021,3,linear,1.6345454545451474,1.6345454545451474,1,1
Aarhus University,2021,3,prophet,0.8260816038215282,0.8260816038215282,1,1
Aarhus University,2021,3,naive,0.19999999999999574,0.19999999999999574,1,2
Aarhus University,2021,3,linear,3.405454545453992,3.405454545453992,1,2
Aarhus University,2021,3,prophet,2.037529320273755,2.037529320273755,1,2
Aarhus University,2021,3,naive,4.500000000000007,4.500000000000007,1,3
Aarhus University,2021,3,linear,0.02363636363671162,0.02363636363671162,1,3
Aarhus University,2022,3,naive,0.5,0.5,1,1
Aarhus University,2022,3,linear,2.8606060606060026,2.8606060606060026,1,1
Aarhus University,2022,3,prophet,2.609615169173715,2.609615169173715,1,1
Aarhus University,2022,3,naive,4.200000000000003,4.200000000000003,1,2
Aarhus University,2022,3,linear,0.631351981351969,0.631351981351969,1,2
Aarhus University,2022,3,prophet,1.1704631127775116,1.1704631127775116,1,2
Aarhus University,2022,3,naive,3.799999999999997,3.799999999999997,1,3
Aarhus University,2022,3,linear,0.9766899766900679,0.9766899766900679,1,3
Arizona State University (Tempe),2016,3,naive,7.5,7.5,1,1
Arizona State University (Tempe),2016,3,linear,9.09999999999998,9.09999999999998,1,1
Arizona State University (Tempe),2016,3,prophet,8.055058807004379,8.055058807004379,1,1
Arizona State University (Tempe),2016,3,naive,8.399999999999999,8.399999999999999,1,2
Arizona State University (Tempe),2016,3,linear,10.42857142857131,10.42857142857131,1,2
Arizona State University (Tempe),2016,3,prophet,8.772233283373495,8.772233283373495,1,2
Arizona State University (Tempe),2016,3,naive,9.299999999999997,9.299999999999997,1,3
Arizona State University (Tempe),2016,3,linear,11.757142857142753,11.757142857142753,1,3
Arizona State University (Tempe),2017,3,naive,0.8999999999999986,0.8999999999999986,1,1
Arizona State University (Tempe),2017,3,linear,5.228571428571378,5.228571428571378,1,1
Arizona State University (Tempe),2017,3,prophet,8.282245685331894,8.282245685331894,1,1
Arizona State University (Tempe),2017,3,naive,1.7999999999999972,1.7999999999999972,1,2
Arizona State University (Tempe),2017,3,linear,5.582142857142799,5.582142857142799,1,2
Arizona State University (Tempe),2017,3,prophet,12.409483810437692,12.409483810437692,1,2
Arizona State University (Tempe),2017,3,naive,0.10000000000000142,0.10000000000000142,1,3
Arizona State University (Tempe),2017,3,linear,3.135714285714222,3.135714285714222,1,3
