params_id,step,MAE,RMSE,N
changepoint_prior_scale=0.1|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,2,4.646696920909288,4.646696920909288,1140
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,1,3.742021637620081,3.742021637620081,1152
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,2,4.821859042437082,4.821859042437082,1140
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,1,3.742021637620081,3.742021637620081,1152
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,2,4.821859042437082,4.821859042437082,1140
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,1,3.717123827373059,3.717123827373059,1152
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,2,4.784778778982478,4.784778778982478,1140
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,1,3.731528228614729,3.731528228614729,1152
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,2,4.812734170838101,4.812734170838101,1140
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,1,3.731528228614729,3.731528228614729,1152
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,2,4.812734170838101,4.812734170838101,1140
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,1,3.707497631493431,3.707497631493431,1152
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,2,4.768472677361446,4.768472677361446,1140
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,1,3.609764916953944,3.609764916953944,1152
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,2,5.100084231274602,5.100084231274602,1140
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,1,3.609764916953944,3.609764916953944,1152
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,2,5.100084231274602,5.100084231274602,1140
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,1,3.6528162921811593,3.6528162921811593,1152
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,2,5.127981763185473,5.127981763185473,1140
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,1,4.016075579941563,4.016075579941563,1152
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,2,5.830477084642219,5.830477084642219,1140
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,1,4.016075579941563,4.016075579941563,1152
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,2,5.830477084642219,5.830477084642219,1140
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,1,4.050902926355317,4.050902926355317,1152
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,2,5.76672038989269,5.76672038989269,1140
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,1,3.9779731731600894,3.9779731731600894,1152
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,2,5.760028283751743,5.760028283751743,1140
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,1,3.9779731731600894,3.9779731731600894,1152
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,2,5.760028283751743,5.760028283751743,1140
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,1,4.023709325216976,4.023709325216976,1152
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,2,5.7529524060248,5.7529524060248,1140
changepoint_prior_scale=0.5|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,1,3.5234093334373293,3.5234093334373293,1152
changepoint_prior_scale=0.5|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,2,5.085343006385274,5.085343006385274,1140
changepoint_prior_scale=0.5|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,1,3.5234093334373293,3.5234093334373293,1152
changepoint_prior_scale=0.5|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,2,5.085343006385274,5.085343006385274,1140
changepoint_prior_scale=0.5|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,1,3.5168864768087564,3.5168864768087564,1152
changepoint_prior_scale=0.5|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,2,5.048574469467765,5.048574469467765,1140
changepoint_prior_scale=0.5|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,1,3.9663666935408646,3.9663666935408646,1152
changepoint_prior_scale=0.5|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,2,5.910512981276406,5.910512981276406,1140
changepoint_prior_scale=0.5|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,1,3.9663666935408646,3.9663666935408646,1152
changepoint_prior_scale=0.5|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,2,5.910512981276406,5.910512981276406,1140
changepoint_prior_scale=0.5|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,1,3.8808882910404754,3.8808882910404754,1152
changepoint_prior_scale=0.5|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,2,5.70361188001377,5.70361188001377,1140
changepoint_prior_scale=0.5|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,1,3.9207970508288574,3.9207970508288574,1152
changepoint_prior_scale=0.5|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,2,5.7943101731059485,5.7943101731059485,1140
changepoint_prior_scale=0.5|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,1,3.9207970508288574,3.9207970508288574,1152
changepoint_prior_scale=0.5|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,2,5.7943101731059485,5.7943101731059485,1140
changepoint_prior_scale=0.5|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,1,3.853080127634366,3.853080127634366,1152
changepoint_prior_scale=0.5|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,2,5.648240720515801,5.648240720515801,1140
changepoint_prior_scale=1.0|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,1,3.860092417016022,3.860092417016022,1152
changepoint_prior_scale=1.0|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,2,5.604962377442773,5.604962377442773,1140
changepoint_prior_scale=1.0|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,1,3.860092417016022,3.860092417016022,1152
changepoint_prior_scale=1.0|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,2,5.604962377442773,5.604962377442773,1140
changepoint_prior_scale=1.0|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,1,3.8079475441356303,3.8079475441356303,1152
changepoint_prior_scale=1.0|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,2,5.5200814010752906,5.5200814010752906,1140
changepoint_prior_scale=1.0|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,1,4.333173211850608,4.333173211850608,1152
changepoint_prior_scale=1.0|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,2,6.488160508240538,6.488160508240538,1140
changepoint_prior_scale=1.0|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,1,4.333173211850608,4.333173211850608,1152
changepoint_prior_scale=1.0|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,2,6.488160508240538,6.488160508240538,1140
changepoint_prior_scale=1.0|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,1,4.182201019667187,4.182201019667187,1152
changepoint_prior_scale=1.0|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,2,6.220451464022105,6.220451464022105,1140
changepoint_prior_scale=1.0|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,1,4.2866219856789005,4.2866219856789005,1152
changepoint_prior_scale=1.0|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,2,6.356601856759954,6.356601856759954,1140
changepoint_prior_scale=1.0|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,1,4.2866219856789005,4.2866219856789005,1152
changepoint_prior_scale=1.0|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,2,6.356601856759954,6.356601856759954,1140
changepoint_prior_scale=1.0|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,1,4.166106663083081,4.166106663083081,1152
changepoint_prior_scale=1.0|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,2,6.182062834791961,6.182062834791961,1140
changepoint_prior_scale=0.03|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,overall,4.053640354382606,4.053640354382606,2292
changepoint_prior_scale=0.03|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,overall,4.053640354382606,4.053640354382606,2292
changepoint_prior_scale=0.03|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,overall,4.057271130303587,4.057271130303587,2292
changepoint_prior_scale=0.03|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,overall,4.061149119470671,4.061149119470671,2292
changepoint_prior_scale=0.03|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,overall,4.061149119470671,4.061149119470671,2292
changepoint_prior_scale=0.03|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,overall,4.067171014005054,4.067171014005054,2292
changepoint_prior_scale=0.03|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,overall,4.061293511818075,4.061293511818075,2292
changepoint_prior_scale=0.03|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,overall,4.061293511818075,4.061293511818075,2292
changepoint_prior_scale=0.03|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,overall,4.064544773310058,4.064544773310058,2292
changepoint_prior_scale=0.05|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,overall,4.055091894486781,4.055091894486781,2292
changepoint_prior_scale=0.05|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,overall,4.055091894486781,4.055091894486781,2292
changepoint_prior_scale=0.05|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,overall,4.0488051941399865,4.0488051941399865,2292
changepoint_prior_scale=0.05|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,overall,4.104479869714676,4.104479869714676,2292
changepoint_prior_scale=0.05|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,overall,4.104479869714676,4.104479869714676,2292
changepoint_prior_scale=0.05|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,overall,4.096356543635978,4.096356543635978,2290
changepoint_prior_scale=0.05|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,overall,4.100260096912647,4.100260096912647,2292
changepoint_prior_scale=0.05|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,overall,4.100260096912647,4.100260096912647,2292
changepoint_prior_scale=0.05|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,overall,4.094863015213999,4.094863015213999,2290
changepoint_prior_scale=0.1|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,overall,4.135958164258934,4.135958164258934,2292
changepoint_prior_scale=0.1|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,overall,4.135958164258934,4.135958164258934,2292
changepoint_prior_scale=0.1|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,overall,4.136648164054182,4.136648164054182,2292
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,overall,4.279113540539532,4.279113540539532,2292
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,overall,4.279113540539532,4.279113540539532,2292
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,overall,4.2481563949274825,4.2481563949274825,2292
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,overall,4.269300817678709,4.269300817678709,2292
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,overall,4.269300817678709,4.269300817678709,2292
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,overall,4.235207732841396,4.235207732841396,2292
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,overall,4.351023214652701,4.351023214652701,2292
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,overall,4.351023214652701,4.351023214652701,2292
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,overall,4.386537337968646,4.386537337968646,2292
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,overall,4.918526590132988,4.918526590132988,2292
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,overall,4.918526590132988,4.918526590132988,2292
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,overall,4.904319989371288,4.904319989371288,2292
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,overall,4.864335662721382,4.864335662721382,2292
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,overall,4.864335662721382,4.864335662721382,2292
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,overall,4.8838040512732235,4.8838040512732235,2292
changepoint_prior_scale=0.5|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,overall,4.300287338306726,4.300287338306726,2292
changepoint_prior_scale=0.5|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,overall,4.300287338306726,4.300287338306726,2292
changepoint_prior_scale=0.5|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,overall,4.278720818707216,4.278720818707216,2292
changepoint_prior_scale=0.5|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,overall,4.933350449220846,4.933350449220846,2292
changepoint_prior_scale=0.5|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,overall,4.933350449220846,4.933350449220846,2292
changepoint_prior_scale=0.5|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,overall,4.787478557807297,4.787478557807297,2292
changepoint_prior_scale=0.5|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,overall,4.852649127354112,4.852649127354112,2292
changepoint_prior_scale=0.5|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,overall,4.852649127354112,4.852649127354112,2292
changepoint_prior_scale=0.5|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,overall,4.745961050795289,4.745961050795289,2292
changepoint_prior_scale=1.0|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,overall,4.727959674819904,4.727959674819904,2292
changepoint_prior_scale=1.0|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,overall,4.727959674819904,4.727959674819904,2292
changepoint_prior_scale=1.0|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,overall,4.659532446801954,4.659532446801954,2292
changepoint_prior_scale=1.0|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,overall,5.405025532044552,5.405025532044552,2292
changepoint_prior_scale=1.0|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,overall,5.405025532044552,5.405025532044552,2292
changepoint_prior_scale=1.0|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,overall,5.19599050769712,5.19599050769712,2292
changepoint_prior_scale=1.0|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,overall,5.316193125745393,5.316193125745393,2292
changepoint_prior_scale=1.0|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,overall,5.316193125745393,5.316193125745393,2292
changepoint_prior_scale=1.0|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,overall,5.168807376760273,5.168807376760273,2292
